,State,Year,Quater,Disrict,Reg_users
0,north and middle andaman district,2018,1,north and middle andaman district,632
1,south andaman district,2018,1,south andaman district,5846
2,nicobars district,2018,1,nicobars district,262
3,north and middle andaman district,2018,1,north and middle andaman district,632
4,south andaman district,2018,1,south andaman district,5846
5,nicobars district,2018,1,nicobars district,262
6,north and middle andaman district,2018,1,north and middle andaman district,632
7,south andaman district,2018,1,south andaman district,5846
8,nicobars district,2018,1,nicobars district,262
9,north and middle andaman district,2018,1,north and middle andaman district,632
10,south andaman district,2018,1,south andaman district,5846
11,nicobars district,2018,1,nicobars district,262
12,north and middle andaman district,2018,2,north and middle andaman district,911
13,south andaman district,2018,2,south andaman district,8143
14,nicobars district,2018,2,nicobars district,351
15,north and middle andaman district,2018,2,north and middle andaman district,911
16,south andaman district,2018,2,south andaman district,8143
17,nicobars district,2018,2,nicobars district,351
18,north and middle andaman district,2018,2,north and middle andaman district,911
19,south andaman district,2018,2,south andaman district,8143
20,nicobars district,2018,2,nicobars district,351
21,north and middle andaman district,2018,2,north and middle andaman district,911
22,south andaman district,2018,2,south andaman district,8143
23,nicobars district,2018,2,nicobars district,351
24,north and middle andaman district,2018,3,north and middle andaman district,1208
25,south andaman district,2018,3,south andaman district,10474
26,nicobars district,2018,3,nicobars district,467
27,north and middle andaman district,2018,3,north and middle andaman district,1208
28,south andaman district,2018,3,south andaman district,10474
29,nicobars district,2018,3,nicobars district,467
30,north and middle andaman district,2018,3,north and middle andaman district,1208
31,south andaman district,2018,3,south andaman district,10474
32,nicobars district,2018,3,nicobars district,467
33,north and middle andaman district,2018,3,north and middle andaman district,1208
34,south andaman district,2018,3,south andaman district,10474
35,nicobars district,2018,3,nicobars district,467
36,north and middle andaman district,2018,4,north and middle andaman district,1553
37,south andaman district,2018,4,south andaman district,13133
38,nicobars district,2018,4,nicobars district,536
39,north and middle andaman district,2018,4,north and middle andaman district,1553
40,south andaman district,2018,4,south andaman district,13133
41,nicobars district,2018,4,nicobars district,536
42,north and middle andaman district,2018,4,north and middle andaman district,1553
43,south andaman district,2018,4,south andaman district,13133
44,nicobars district,2018,4,nicobars district,536
45,north and middle andaman district,2018,4,north and middle andaman district,1553
46,south andaman district,2018,4,south andaman district,13133
47,nicobars district,2018,4,nicobars district,536
48,north and middle andaman district,2019,1,north and middle andaman district,2013
49,south andaman district,2019,1,south andaman district,15961
50,nicobars district,2019,1,nicobars district,622
51,north and middle andaman district,2019,1,north and middle andaman district,2013
52,south andaman district,2019,1,south andaman district,15961
53,nicobars district,2019,1,nicobars district,622
54,north and middle andaman district,2019,1,north and middle andaman district,2013
55,south andaman district,2019,1,south andaman district,15961
56,nicobars district,2019,1,nicobars district,622
57,north and middle andaman district,2019,1,north and middle andaman district,2013
58,south andaman district,2019,1,south andaman district,15961
59,nicobars district,2019,1,nicobars district,622
60,north and middle andaman district,2019,2,north and middle andaman district,2417
61,south andaman district,2019,2,south andaman district,18621
62,nicobars district,2019,2,nicobars district,693
63,north and middle andaman district,2019,2,north and middle andaman district,2417
64,south andaman district,2019,2,south andaman district,18621
65,nicobars district,2019,2,nicobars district,693
66,north and middle andaman district,2019,2,north and middle andaman district,2417
67,south andaman district,2019,2,south andaman district,18621
68,nicobars district,2019,2,nicobars district,693
69,north and middle andaman district,2019,2,north and middle andaman district,2417
70,south andaman district,2019,2,south andaman district,18621
71,nicobars district,2019,2,nicobars district,693
72,north and middle andaman district,2019,3,north and middle andaman district,2662
73,south andaman district,2019,3,south andaman district,20518
74,nicobars district,2019,3,nicobars district,751
75,north and middle andaman district,2019,3,north and middle andaman district,2662
76,south andaman district,2019,3,south andaman district,20518
77,nicobars district,2019,3,nicobars district,751
78,north and middle andaman district,2019,3,north and middle andaman district,2662
79,south andaman district,2019,3,south andaman district,20518
80,nicobars district,2019,3,nicobars district,751
81,north and middle andaman district,2019,3,north and middle andaman district,2662
82,south andaman district,2019,3,south andaman district,20518
83,nicobars district,2019,3,nicobars district,751
84,north and middle andaman district,2019,4,north and middle andaman district,2955
85,south andaman district,2019,4,south andaman district,22202
86,nicobars district,2019,4,nicobars district,803
87,north and middle andaman district,2019,4,north and middle andaman district,2955
88,south andaman district,2019,4,south andaman district,22202
89,nicobars district,2019,4,nicobars district,803
90,north and middle andaman district,2019,4,north and middle andaman district,2955
91,south andaman district,2019,4,south andaman district,22202
92,nicobars district,2019,4,nicobars district,803
93,north and middle andaman district,2019,4,north and middle andaman district,2955
94,south andaman district,2019,4,south andaman district,22202
95,nicobars district,2019,4,nicobars district,803
96,north and middle andaman district,2020,1,north and middle andaman district,3315
97,south andaman district,2020,1,south andaman district,24174
98,nicobars district,2020,1,nicobars district,879
99,north and middle andaman district,2020,1,north and middle andaman district,3315
100,south andaman district,2020,1,south andaman district,24174
101,nicobars district,2020,1,nicobars district,879
102,north and middle andaman district,2020,1,north and middle andaman district,3315
103,south andaman district,2020,1,south andaman district,24174
104,nicobars district,2020,1,nicobars district,879
105,north and middle andaman district,2020,1,north and middle andaman district,3315
106,south andaman district,2020,1,south andaman district,24174
107,nicobars district,2020,1,nicobars district,879
108,north and middle andaman district,2020,2,north and middle andaman district,4100
109,south andaman district,2020,2,south andaman district,27626
110,nicobars district,2020,2,nicobars district,984
111,north and middle andaman district,2020,2,north and middle andaman district,4100
112,south andaman district,2020,2,south andaman district,27626
113,nicobars district,2020,2,nicobars district,984
114,north and middle andaman district,2020,2,north and middle andaman district,4100
115,south andaman district,2020,2,south andaman district,27626
116,nicobars district,2020,2,nicobars district,984
117,north and middle andaman district,2020,2,north and middle andaman district,4100
118,south andaman district,2020,2,south andaman district,27626
119,nicobars district,2020,2,nicobars district,984
120,north and middle andaman district,2020,3,north and middle andaman district,5355
121,south andaman district,2020,3,south andaman district,34833
122,nicobars district,2020,3,nicobars district,1147
123,north and middle andaman district,2020,3,north and middle andaman district,5355
124,south andaman district,2020,3,south andaman district,34833
125,nicobars district,2020,3,nicobars district,1147
126,north and middle andaman district,2020,3,north and middle andaman district,5355
127,south andaman district,2020,3,south andaman district,34833
128,nicobars district,2020,3,nicobars district,1147
